sourceIdUser	targetIdUser
61191375	1447508982
61191375	479549227
61191375	496689741
61191375	213017690
61191375	15775935
61191375	117345550
61191375	48322324
61528540	276454217
61528540	539476314
61528540	121468512
61528540	217210001
61528540	402088362
61528540	1509640741
61528540	848950321
61528540	568417300
61528540	500131988
61528540	2693271662
61528540	48322324
61528540	151944204
61528540	743485476
61528540	117345550
61528540	61191375
61528540	213017690
61729763	500131988
1447508982	1065256098
1447508982	2382451832
1447508982	2573380633
1447508982	262671176
1447508982	1612797337
1447508982	2733676025
1447508982	1691856535
1447508982	715801854
1447508982	1522114842
1447508982	18291444
1447508982	562217581
1447508982	302847514
1447508982	607495535
1447508982	213017690
1447508982	385583224
1447508982	19659368
1447508982	38444233
1447508982	140397983
6964622	217210001
6964622	848950321
6964622	898433816
6964622	2382451832
6964622	180745867
6964622	54856170
6964622	802025095
6964622	339007861
6964622	262671176
6964622	40197991
6964622	86711856
6964622	121468512
6964622	117345550
10724352	2693271662
10724352	237356134
10724352	802025095
10724352	30202175
10724352	61191375
10724352	121468512
217210001	1447508982
217210001	213017690
217210001	189638878
217210001	121468512
217210001	117345550
222861008	112405794
235174844	74465339
235174844	2382451832
235174844	262671176
235174844	276454217
235174844	18291444
235174844	1447508982
235174844	299883408
235174844	3351049198
235174844	500131988
235174844	2693271662
235174844	117345550
235174844	217210001
235174844	898433816
235174844	30202175
235174844	458199624
235174844	54856170
237356134	1447508982
237356134	276454217
237356134	1509640741
237356134	91856679
237356134	1580447905
237356134	19659368
237356134	4267764334
237356134	500131988
237356134	217210001
237356134	48322324
237356134	117345550
237356134	299883408
237356134	10724352
237356134	3351049198
237356134	262671176
237356134	898433816
237356134	2693271662
237356134	40197991
237356134	25548418
237738266	18565111
237738266	1010835510
237738266	25548418
237738266	1118950813
237738266	40197991
237738266	1431049680
237752246	802025095
237752246	478599072
237752246	4267764334
237752246	535481314
237752246	285489417
237752246	2593497091
237752246	262671176
237752246	2810964800
237752246	496689741
237752246	1920860480
237752246	2240725382
237752246	1864088244
237752246	61191375
237752246	1344217628
237752246	1431049680
237752246	278051220
237752246	302847514
237752246	112405794
237752246	563629852
237752246	848950321
237752246	607918288
237752246	380449819
237752246	536554898
237752246	488686216
237752246	487416322
237752246	414053698
237752246	339007861
237752246	15775935
237752246	189638878
237752246	86711856
237752246	121468512
237752246	25548418
237752246	34235577
237752246	117345550
241717375	1447508982
241717375	500131988
241717375	217210001
241717375	2922001253
246910602	380449819
