idTweet	idUser	indiceStart	indiceEnd
673502855207104516	276999128	122	131
673503886859194368	129479601	0	10
673503886859194368	456529462	11	21
673503886859194368	1509640741	22	34
673504195383656449	276999128	0	9
673504195383656449	456529462	65	75
673504195383656449	1509640741	76	88
673474915308277760	7157292	91	100
673181249029185536	19659368	0	9
673183612519505920	1220141418	0	15
673183612519505920	1220141418	16	31
673077246224125953	3307435221	0	13
672817086859747328	571982354	44	53
673186851335770113	1920860480	35	43
673189077546594304	117345550	0	16
673189077546594304	1920860480	17	25
673191898157342721	898433816	0	15
673191898157342721	117345550	16	32
673192091946770433	898433816	0	15
