idTweet	idUser	indiceStart	indiceEnd
673192091946770433	117345550	16	32
673184985004777472	19659368	0	9
673185623826632704	19659368	0	9
673186240162889728	19659368	0	9
673139172404813824	70385068	8	20
673162171652657152	2382451832	0	11
673068357478948864	2290882861	65	75
672826259278295040	112405794	6	16
672879907798720512	1895047320	0	16
672875118666870784	848950321	97	113
672840346838155265	502257272	0	9
672810025610539009	117345550	6	22
672783074883674112	898433816	9	24
672707820442226688	898433816	16	31
672704691432792064	802025095	0	12
672706103524777984	28179950	0	6
672673046071758848	783036109	8	23
672682252694851584	848950321	96	112
672414824538746880	3143608630	72	88
672491043078541312	1259698710	0	8
672491043078541312	273946973	9	17
672491043078541312	3143608630	18	34
672491043078541312	94131301	35	44
672491043078541312	143909021	45	50
672458566515752960	1431049680	40	54
672458566515752960	848950321	66	82
672451555388473345	2327881	63	73
672437760486219776	18565111	27	34
672410425363972096	1431049680	75	89
672370523347750912	217210001	1	12
672355700362878976	848950321	70	86
672356019142569984	117345550	0	16
672356019142569984	848950321	17	33
672356019142569984	607918288	38	51
672360817107607554	898433816	0	15
672360817107607554	117345550	16	32
672359820729712640	898433816	0	15
672359820729712640	848950321	16	32
672359820729712640	607918288	33	46
672356910742507520	117345550	0	16
672356910742507520	848950321	17	33
672357019840593920	117345550	0	16
672357019840593920	848950321	17	33
672357320496717824	2693271662	0	11
672357320496717824	117345550	12	28
672357320496717824	848950321	29	45
672357538915053569	898433816	0	15
672357538915053569	117345550	16	32
672357538915053569	848950321	33	49
672332065489231873	16097522	74	85
672332065489231873	233505453	98	107
672120337992167424	3087457761	32	42
672120337992167424	339007861	47	60
672091413698519040	2246825216	0	11
672061783469854721	3813704779	36	52
672004250109538304	48433583	0	11
672006374809800704	393590944	0	12
672006374809800704	393590944	13	25
672019403479908352	48433583	0	11
672019403479908352	2611395931	12	28
672005810768203776	555021905	30	44
671741174445666305	898433816	30	45
672001160740528128	237356134	0	10
672002660732641280	39468893	0	12
672001228549832704	2506880772	57	71
671998880653946880	391610094	46	53
671991922492383234	3351049198	90	104
671978282762432512	424042040	0	7
671978282762432512	2241930876	60	76
671978282762432512	36383320	81	95
671967140346507264	117345550	90	106
671967140346507264	500131988	107	121
671967140346507264	2813368346	123	135
671968269583179776	18291444	0	9
671968269583179776	117345550	108	124
671968269583179776	2813368346	125	137
671793417438035971	2693271662	0	11
671741699635458049	2552068442	93	106
671766102209380356	94131301	84	93
671748321007042561	117345550	2	18
671740689466728452	26203847	19	32
671738712460500992	898433816	88	103
671733263069814784	500131988	11	25
671722049338015745	715801854	15	31
671714495941771267	1056105984	0	15
671713894365339652	1047636402	0	7
671679640751251457	218659501	44	49
671704792989900800	9503742	0	7
671709437745340417	262671176	6	19
671709044424515584	13168742	67	79
671668622553665536	898433816	22	37
671668622553665536	2693271662	38	49
671668622553665536	117345550	50	66
671669499989524480	262671176	0	13
671669499989524480	2693271662	14	25
671669499989524480	117345550	26	42
671669779028156416	898433816	0	15
671669779028156416	2693271662	16	27
671669779028156416	117345550	28	44
671669995533901824	898433816	0	15
671669995533901824	2693271662	16	27
671669995533901824	117345550	28	44
671670236597342208	262671176	0	13
671594339118751744	898433816	0	15
671594339118751744	2693271662	16	27
671594339118751744	117345550	28	44
671594339118751744	500131988	45	59
671630066359640064	898433816	70	85
671616915102695424	898433816	23	38
671409437391851520	898433816	23	38
671596107391229952	217210001	0	11
671398216546590720	898433816	41	56
671398216546590720	262671176	58	71
678971808448684032	2227260126	11	27
679413218217959424	1431049680	29	43
679331592175796224	234489322	91	105
679224992589049857	3439398647	49	60
679166412418600960	546720037	63	75
679020608890511361	129473394	0	9
678963858652925952	15618138	32	41
678957271380979712	782325	32	40
678724070330908672	377273564	96	110
678900268252176386	217210001	3	14
678876305895608320	848950321	40	56
678859014676041728	293004378	89	96
678850365912178689	164638744	47	63
678850644405583872	164638744	0	16
678851789521879040	164638744	0	16
678851789521879040	3383612925	43	57
678717772562604032	18436075	26	40
678880861744455680	871543250	82	92
678880861744455680	145556011	98	107
678908425695338498	14830116	48	60
678908425695338498	338279064	61	72
678908425695338498	244086871	73	85
678908425695338498	2723524099	86	101
678908425695338498	2796585523	102	110
678270988619001858	19659368	35	44
678240483655708672	1920860480	71	79
678179525612716032	482940611	84	99
677905069333987328	117345550	27	43
677844755829661696	898433816	1	16
677821622410170368	3081745527	16	29
677821622410170368	510783386	95	104
677821622410170368	2885381108	105	115
677815649075396609	1920860480	1	9
677815649075396609	339007861	90	103
677803017622716416	4267764334	3	15
677803017622716416	339007861	103	116
677733539924824064	1344217628	0	10
677541064396394498	848950321	47	63
677539496750161923	2327881	88	98
677464713320599552	380449819	0	7
671398216546590720	217210001	73	84
678852451529793536	164638744	0	16
672339885118889984	517633034	30	45
673184733052993536	19659368	0	9
673412482971602944	18565111	0	7
673791843700776960	3305425457	13	26
677798246685765633	339007861	91	104
678912051562070016	1120321153	13	24
680164333213597696	848950321	68	84
680166388711997442	52010896	75	87
685497476476989440	2873803755	87	103
685497476476989440	252039125	104	111
685374946420330496	898433816	4	19
684113394937495556	563629852	0	11
680750576104255488	2384222526	86	99
680750576104255488	898433816	100	115
674734801132331008	819721980	26	41
674681377615425537	2327881	45	55
674274046977171456	535481314	39	51
674631166025195522	2327881	51	61
674631166025195522	87671968	65	80
674569695740231680	112405794	11	21
674570946435485696	222861008	0	16
674571386489339904	112405794	0	10
674572372238802945	222861008	0	16
674535591455801344	217210001	0	11
674535950555488256	1580447905	0	11
674536865538506752	217210001	0	11
674508936326836224	3299004339	73	88
674491494812819457	2932126269	90	101
680348661671419904	53029114	122	134
680513591800299520	1431049680	0	14
680509173797224448	502257272	0	9
680510465085181953	18565111	0	7
680511044796600321	502257272	0	9
680511196248711168	502257272	0	9
680121113788157952	339007861	100	113
680128313172594688	4267764334	0	12
680128313172594688	339007861	13	26
680024977286889473	1920860480	40	48
680021472778256385	898433816	0	15
680006924981649408	1920860480	0	8
679940799711309824	117345550	0	16
679991865572220928	2951011883	0	15
679991865572220928	117345550	58	74
672334742151430145	233505453	26	35
676018972177907712	1920860480	62	70
679974109518950400	898433816	0	15
678888210899054592	563629852	88	99
679732788363395073	563629852	49	60
679927108089548801	2951011883	66	81
677465166552948736	262671176	1	14
677465166552948736	380449819	15	22
677443370210500608	898433816	72	87
677432291887591428	14430936	119	134
677217165875920896	3115929135	17	30
677264042444980224	3739887569	6	19
677188582222745600	3751245863	6	18
677188582222745600	1128550574	66	78
677151725464248320	3351049198	0	14
677152717178015744	3351049198	0	14
677153468960894976	3351049198	0	14
677154036240547840	3351049198	0	14
677154383826677760	3351049198	0	14
677117031037206528	360667154	33	49
677117031037206528	363112671	72	83
677059073712484352	2437074698	104	114
677069912876179456	2437074698	1	11
661181541557673984	2549384167	31	41
